id,availability,availability_date
IN952,backorder,2026-07-30T00:00:00+00:00
IN971,backorder,2026-07-30T00:00:00+00:00
IN1292,backorder,2026-07-30T00:00:00+00:00
IN1500,backorder,2026-07-30T00:00:00+00:00
IN1686,backorder,2026-07-30T00:00:00+00:00
IN1688,backorder,2026-07-30T00:00:00+00:00
IN1689,backorder,2026-07-30T00:00:00+00:00
IN1703,backorder,2026-07-30T00:00:00+00:00
IN1707,backorder,2026-07-30T00:00:00+00:00
IN1712,backorder,2026-07-30T00:00:00+00:00
IN1714,backorder,2026-07-30T00:00:00+00:00
IN1715,backorder,2026-07-30T00:00:00+00:00
IN1726,backorder,2026-07-30T00:00:00+00:00
IN1739,backorder,2026-07-30T00:00:00+00:00
IN1767,backorder,2026-07-30T00:00:00+00:00
IN1781,backorder,2026-07-30T00:00:00+00:00
IN1786,backorder,2026-07-30T00:00:00+00:00
IN1789,backorder,2026-07-30T00:00:00+00:00
IN1792,backorder,2026-07-30T00:00:00+00:00
IN1793,backorder,2026-07-30T00:00:00+00:00
IN1794,backorder,2026-07-30T00:00:00+00:00
IN1795,backorder,2026-07-30T00:00:00+00:00
IN1804,backorder,2026-07-30T00:00:00+00:00
IN1807,backorder,2026-07-30T00:00:00+00:00
IN1814,backorder,2026-07-30T00:00:00+00:00
IN1857,backorder,2026-07-30T00:00:00+00:00
IN3307,backorder,2026-07-30T00:00:00+00:00
IN3289,backorder,2026-07-30T00:00:00+00:00
IN3322,backorder,2026-07-30T00:00:00+00:00
IN3330,backorder,2026-07-30T00:00:00+00:00
IN3357,backorder,2026-07-30T00:00:00+00:00
IN932,backorder,2026-07-30T00:00:00+00:00
IN1464,backorder,2026-07-30T00:00:00+00:00
IN3497,backorder,2026-07-30T00:00:00+00:00
IN818,backorder,2026-07-30T00:00:00+00:00
IN3390,backorder,2026-07-30T00:00:00+00:00
IN3523,backorder,2026-07-30T00:00:00+00:00
IN3504,backorder,2026-07-30T00:00:00+00:00
IN3527,backorder,2026-07-30T00:00:00+00:00
IN3568,backorder,2026-07-30T00:00:00+00:00
IN3570,backorder,2026-07-30T00:00:00+00:00
IN3552,backorder,2026-07-30T00:00:00+00:00
IN3612,backorder,2026-07-30T00:00:00+00:00
IN3512,backorder,2026-07-30T00:00:00+00:00
IN3513,backorder,2026-07-30T00:00:00+00:00
IN3514,backorder,2026-07-30T00:00:00+00:00
IN3515,backorder,2026-07-30T00:00:00+00:00
IN3516,backorder,2026-07-30T00:00:00+00:00
IN3518,backorder,2026-07-30T00:00:00+00:00
IN3616,backorder,2026-07-30T00:00:00+00:00
IN3617,backorder,2026-07-30T00:00:00+00:00
IN3618,backorder,2026-07-30T00:00:00+00:00
IN3620,backorder,2026-07-30T00:00:00+00:00
IN3621,backorder,2026-07-30T00:00:00+00:00
IN3625,backorder,2026-07-30T00:00:00+00:00
IN3627,backorder,2026-07-30T00:00:00+00:00
